id_clima,id_municipio,fecha,cielo,t_max,t_min,prob_prec,velocidad_viento,direccion_viento
348,1252,2024-11-27,Despejado,23.20,7.00,0.00,6.20,Oeste
349,2270,2024-11-28,Despejado,25.30,8.30,0.00,6.30,Noreste
350,1252,2024-11-28,Despejado,25.30,8.30,0.00,6.30,Noreste
351,2270,2024-11-29,Despejado,19.30,7.60,0.00,7.80,Noreste
352,1252,2024-11-29,Despejado,19.30,7.60,0.00,7.80,Noreste
353,1152,2024-11-26,Despejado,18.70,7.20,0.00,6.80,Este
354,1152,2024-11-27,Despejado,23.30,7.60,0.00,7.00,Oeste
355,1152,2024-11-28,Despejado,26.00,8.90,0.00,5.20,Norte
356,1152,2024-11-29,Despejado,19.80,8.30,0.00,5.90,Este
357,955,2024-11-26,Despejado,23.70,11.10,0.00,6.80,Oeste
358,955,2024-11-27,Despejado,25.40,10.90,0.00,7.60,Oeste
359,955,2024-11-28,Despejado,28.10,13.40,0.00,7.00,Oeste
360,955,2024-11-29,Despejado,24.70,13.00,0.00,6.40,Oeste
361,1995,2024-11-26,Despejado,21.40,9.10,0.00,6.70,Oeste
362,994,2024-11-26,Despejado,21.40,9.10,0.00,6.70,Oeste
363,522,2024-11-26,Despejado,21.40,9.10,0.00,6.70,Oeste
364,1995,2024-11-27,Despejado,24.70,9.00,0.00,8.20,Oeste
365,994,2024-11-27,Despejado,24.70,9.00,0.00,8.20,Oeste
366,522,2024-11-27,Despejado,24.70,9.00,0.00,8.20,Oeste
